source_node	source_type	edge_type	target_node	target_type
omarigliptin	drug	interacts_with	DPP4	gene
Hypothetical protein CTL0156	drug	interacts_with	TP53	gene
Hypothetical protein CT_788	drug	interacts_with	TP53	gene
Hypothetical protein CTL0156	drug	interacts_with	TP53	gene
Hypothetical protein CT_788	drug	interacts_with	TP53	gene
Hypothetical protein CTL0156	drug	interacts_with	TP53	gene
Hypothetical protein CT_788	drug	interacts_with	TP53	gene
Hypothetical protein CTL0156	drug	interacts_with	TP53	gene
Hypothetical protein CT_788	drug	interacts_with	TP53	gene
everolimus	drug	interacts_with	MTOR	gene
ridaforolimus	drug	interacts_with	MTOR	gene
dactolisib	drug	interacts_with	MTOR	gene
temsirolimus	drug	interacts_with	MTOR	gene
Non-structural protein 14 [SARS-CoV-2]	drug	interacts_with	GLA	gene
AIDA	drug	interacts_with	GRM1	gene
CPCCOEt	drug	interacts_with	GRM1	gene
AIDA	drug	interacts_with	GRM1	gene
CPCCOEt	drug	interacts_with	GRM1	gene
navitoclax	drug	interacts_with	BCL2	gene
Epidermal growth factor receptor	drug	interacts_with	EGF	gene
gefitinib	drug	interacts_with	EGFR	gene
erlotinib	drug	interacts_with	EGFR	gene
lapatinib	drug	interacts_with	EGFR	gene
Epidermal growth factor	drug	interacts_with	EGFR	gene
Brigatinib	drug	interacts_with	EGFR	gene
afatinib	drug	interacts_with	EGFR	gene
canertinib	drug	interacts_with	EGFR	gene
neratinib	drug	interacts_with	EGFR	gene
vandetanib	drug	interacts_with	EGFR	gene
icotinib	drug	interacts_with	EGFR	gene
dacomitinib	drug	interacts_with	EGFR	gene
Inclusion membrane protein E CT_116	drug	interacts_with	EGFR	gene
Inclusion membrane protein E CTL0371	drug	interacts_with	EGFR	gene
osimertinib	drug	interacts_with	EGFR	gene
gefitinib	drug	interacts_with	EGFR	gene
erlotinib	drug	interacts_with	EGFR	gene
lapatinib	drug	interacts_with	EGFR	gene
Epidermal growth factor	drug	interacts_with	EGFR	gene
Brigatinib	drug	interacts_with	EGFR	gene
afatinib	drug	interacts_with	EGFR	gene
canertinib	drug	interacts_with	EGFR	gene
neratinib	drug	interacts_with	EGFR	gene
vandetanib	drug	interacts_with	EGFR	gene
icotinib	drug	interacts_with	EGFR	gene
dacomitinib	drug	interacts_with	EGFR	gene
Inclusion membrane protein E CT_116	drug	interacts_with	EGFR	gene
Inclusion membrane protein E CTL0371	drug	interacts_with	EGFR	gene
osimertinib	drug	interacts_with	EGFR	gene
Isopentenyl pyrophosphate	drug	interacts_with	MVK	gene
geranyl diphosphate	drug	interacts_with	MVK	gene
geranylgeranyl pyrophosphate	drug	interacts_with	MVK	gene
Isopentenyl pyrophosphate	drug	interacts_with	MVK	gene
geranyl diphosphate	drug	interacts_with	MVK	gene
geranylgeranyl pyrophosphate	drug	interacts_with	MVK	gene
Isopentenyl pyrophosphate	drug	interacts_with	MVK	gene
geranyl diphosphate	drug	interacts_with	MVK	gene
geranylgeranyl pyrophosphate	drug	interacts_with	MVK	gene
dabigatran	drug	interacts_with	F2	gene
ximelagatran	drug	interacts_with	F2	gene
Anti-thrombin antibodies	drug	interacts_with	F2	gene
dabigatran	drug	interacts_with	F2	gene
ximelagatran	drug	interacts_with	F2	gene
Anti-thrombin antibodies	drug	interacts_with	F2	gene
sorafenib	drug	interacts_with	RAF1	gene
vemurafenib	drug	interacts_with	RAF1	gene
sorafenib	drug	interacts_with	RAF1	gene
vemurafenib	drug	interacts_with	RAF1	gene
sorafenib	drug	interacts_with	RAF1	gene
vemurafenib	drug	interacts_with	RAF1	gene
PRE-084	drug	interacts_with	SIGMAR1	gene
dextromethorphan	drug	interacts_with	SIGMAR1	gene
(-)-pentazocine	drug	interacts_with	SIGMAR1	gene
bd-1047	drug	interacts_with	SIGMAR1	gene
Hypothetical protein CT_449	drug	interacts_with	SIGMAR1	gene
Hypothetical protein CTL0709	drug	interacts_with	SIGMAR1	gene
non-structural protein 6 [SARS-CoV-2]	drug	interacts_with	SIGMAR1	gene
PRE-084	drug	interacts_with	SIGMAR1	gene
dextromethorphan	drug	interacts_with	SIGMAR1	gene
(-)-pentazocine	drug	interacts_with	SIGMAR1	gene
bd-1047	drug	interacts_with	SIGMAR1	gene
Hypothetical protein CT_449	drug	interacts_with	SIGMAR1	gene
Hypothetical protein CTL0709	drug	interacts_with	SIGMAR1	gene
non-structural protein 6 [SARS-CoV-2]	drug	interacts_with	SIGMAR1	gene
glycochenodeoxycholic acid	drug	interacts_with	ABCB11	gene
Inclusion membrane protein E CT_116	drug	interacts_with	RAC1	gene
Inclusion membrane protein E CTL0371	drug	interacts_with	RAC1	gene
sorafenib	drug	interacts_with	DDR2	gene
Helicase [SARS-CoV-2]	drug	interacts_with	RDX	gene
Helicase [SARS-CoV-2]	drug	interacts_with	RDX	gene
semagacestat	drug	interacts_with	PSEN1	gene
semagacestat	drug	interacts_with	PSEN1	gene
semagacestat	drug	interacts_with	PSEN1	gene
lonafarnib	drug	interacts_with	KRAS	gene
lonafarnib	drug	interacts_with	KRAS	gene
lonafarnib	drug	interacts_with	KRAS	gene
Inclusion membrane protein F CTL0372	drug	interacts_with	COL3A1	gene
Inclusion membrane protein F CT_117	drug	interacts_with	COL3A1	gene
alvocidib	drug	interacts_with	CDK4	gene
palbociclib	drug	interacts_with	CDK4	gene
palbociclib	drug	interacts_with	CDK6	gene
palbociclib	drug	interacts_with	CDK6	gene
naltrexone	drug	interacts_with	OPRM1	gene
hydrocodone	drug	interacts_with	OPRM1	gene
methylnaltrexone	drug	interacts_with	OPRM1	gene
tapentadol	drug	interacts_with	OPRM1	gene
(-)-pentazocine	drug	interacts_with	OPRM1	gene
sufentanil	drug	interacts_with	OPRM1	gene
loperamide	drug	interacts_with	OPRM1	gene
diprenorphine	drug	interacts_with	OPRM1	gene
DADLE	drug	interacts_with	OPRM1	gene
butorphanol	drug	interacts_with	OPRM1	gene
L-morphan	drug	interacts_with	OPRM1	gene
nalorphine	drug	interacts_with	OPRM1	gene
naltrindole	drug	interacts_with	OPRM1	gene
dihydromorphine	drug	interacts_with	OPRM1	gene
nalmefene	drug	interacts_with	OPRM1	gene
endomorphin-1	drug	interacts_with	OPRM1	gene
alvimopan	drug	interacts_with	OPRM1	gene
DAMGO	drug	interacts_with	OPRM1	gene
etonitazene	drug	interacts_with	OPRM1	gene
levallorphan	drug	interacts_with	OPRM1	gene
levomethadone	drug	interacts_with	OPRM1	gene
quadazocine	drug	interacts_with	OPRM1	gene
naltriben	drug	interacts_with	OPRM1	gene
cebranopadol	drug	interacts_with	OPRM1	gene
eluxadoline	drug	interacts_with	OPRM1	gene
aminooxyacetic acid	drug	interacts_with	CBS	gene
hypothetical protein CTL0003	drug	interacts_with	CDKN2A	gene
enoxaparin sodium	drug	interacts_with	SERPINC1	gene
tafamidis	drug	interacts_with	TTR	gene
tafamidis	drug	interacts_with	TTR	gene
capsaicin	drug	interacts_with	CFTR	gene
capsaicin	drug	interacts_with	CFTR	gene
letrozole	drug	interacts_with	CYP19A1	gene
aminoglutethimide	drug	interacts_with	CYP19A1	gene
exemestane	drug	interacts_with	CYP19A1	gene
anastrozole	drug	interacts_with	CYP19A1	gene
testolactone	drug	interacts_with	CYP19A1	gene
azalanstat	drug	interacts_with	CYP19A1	gene
fadrozole	drug	interacts_with	CYP19A1	gene
maraviroc	drug	interacts_with	CCR5	gene
vicriviroc	drug	interacts_with	CCR5	gene
aplaviroc	drug	interacts_with	CCR5	gene
Cenicriviroc	drug	interacts_with	CCR5	gene
bisphenol A	drug	interacts_with	AR	gene
fluoxymesterone	drug	interacts_with	AR	gene
dihydrotestosterone	drug	interacts_with	AR	gene
mifepristone	drug	interacts_with	AR	gene
flutamide	drug	interacts_with	AR	gene
nandrolone	drug	interacts_with	AR	gene
methyltestosterone	drug	interacts_with	AR	gene
cyproterone acetate	drug	interacts_with	AR	gene
ethylestrenol	drug	interacts_with	AR	gene
bicalutamide	drug	interacts_with	AR	gene
enzalutamide	drug	interacts_with	AR	gene
metribolone	drug	interacts_with	AR	gene
nilutamide	drug	interacts_with	AR	gene
andarine	drug	interacts_with	AR	gene
dromostanolone propionate	drug	interacts_with	AR	gene
mibolerone	drug	interacts_with	AR	gene
testosterone propionate	drug	interacts_with	AR	gene
hydroxyflutamide	drug	interacts_with	AR	gene
plerixafor	drug	interacts_with	CXCR4	gene
nepicastat	drug	interacts_with	DBH	gene
L-Tryptophan	drug	interacts_with	CASR	gene
cinacalcet	drug	interacts_with	CASR	gene
spermine	drug	interacts_with	CASR	gene
NPS-2143	drug	interacts_with	CASR	gene
ponatinib	drug	interacts_with	RET	gene
sunitinib	drug	interacts_with	RET	gene
sorafenib	drug	interacts_with	RET	gene
linifanib	drug	interacts_with	RET	gene
vandetanib	drug	interacts_with	RET	gene
ponatinib	drug	interacts_with	RET	gene
sunitinib	drug	interacts_with	RET	gene
sorafenib	drug	interacts_with	RET	gene
linifanib	drug	interacts_with	RET	gene
vandetanib	drug	interacts_with	RET	gene
ponatinib	drug	interacts_with	RET	gene
sunitinib	drug	interacts_with	RET	gene
sorafenib	drug	interacts_with	RET	gene
linifanib	drug	interacts_with	RET	gene
vandetanib	drug	interacts_with	RET	gene
ponatinib	drug	interacts_with	RET	gene
sunitinib	drug	interacts_with	RET	gene
sorafenib	drug	interacts_with	RET	gene
linifanib	drug	interacts_with	RET	gene
vandetanib	drug	interacts_with	RET	gene
ponatinib	drug	interacts_with	RET	gene
sunitinib	drug	interacts_with	RET	gene
sorafenib	drug	interacts_with	RET	gene
linifanib	drug	interacts_with	RET	gene
vandetanib	drug	interacts_with	RET	gene
ponatinib	drug	interacts_with	RET	gene
sunitinib	drug	interacts_with	RET	gene
sorafenib	drug	interacts_with	RET	gene
linifanib	drug	interacts_with	RET	gene
vandetanib	drug	interacts_with	RET	gene
estriol	drug	interacts_with	ESR1	gene
tamoxifen	drug	interacts_with	ESR1	gene
estrone	drug	interacts_with	ESR1	gene
ethinylestradiol	drug	interacts_with	ESR1	gene
17β-estradiol	drug	interacts_with	ESR1	gene
diethylstilbestrol	drug	interacts_with	ESR1	gene
raloxifene	drug	interacts_with	ESR1	gene
lasofoxifene	drug	interacts_with	ESR1	gene
bazedoxifene	drug	interacts_with	ESR1	gene
Hexestrol	drug	interacts_with	ESR1	gene
estriol	drug	interacts_with	ESR1	gene
tamoxifen	drug	interacts_with	ESR1	gene
estrone	drug	interacts_with	ESR1	gene
ethinylestradiol	drug	interacts_with	ESR1	gene
17β-estradiol	drug	interacts_with	ESR1	gene
diethylstilbestrol	drug	interacts_with	ESR1	gene
raloxifene	drug	interacts_with	ESR1	gene
lasofoxifene	drug	interacts_with	ESR1	gene
bazedoxifene	drug	interacts_with	ESR1	gene
Hexestrol	drug	interacts_with	ESR1	gene
estriol	drug	interacts_with	ESR1	gene
tamoxifen	drug	interacts_with	ESR1	gene
estrone	drug	interacts_with	ESR1	gene
ethinylestradiol	drug	interacts_with	ESR1	gene
17β-estradiol	drug	interacts_with	ESR1	gene
diethylstilbestrol	drug	interacts_with	ESR1	gene
raloxifene	drug	interacts_with	ESR1	gene
lasofoxifene	drug	interacts_with	ESR1	gene
bazedoxifene	drug	interacts_with	ESR1	gene
Hexestrol	drug	interacts_with	ESR1	gene
Urofollitropin	drug	interacts_with	FSHR	gene
Urofollitropin	drug	interacts_with	FSHR	gene
Urofollitropin	drug	interacts_with	FSHR	gene
Urofollitropin	drug	interacts_with	FSHR	gene
Urofollitropin	drug	interacts_with	FSHR	gene
Nintedanib	drug	interacts_with	FGFR2	gene
Nintedanib	drug	interacts_with	FGFR2	gene
Nintedanib	drug	interacts_with	FGFR2	gene
Nintedanib	drug	interacts_with	FGFR2	gene
Nintedanib	drug	interacts_with	FGFR2	gene
Nintedanib	drug	interacts_with	FGFR2	gene
Nintedanib	drug	interacts_with	FGFR2	gene
DL-TBOA	drug	interacts_with	SLC1A3	gene
sunitinib	drug	interacts_with	FGFR1	gene
sorafenib	drug	interacts_with	FGFR1	gene
pazopanib	drug	interacts_with	FGFR1	gene
Nintedanib	drug	interacts_with	FGFR1	gene
sunitinib	drug	interacts_with	FGFR1	gene
sorafenib	drug	interacts_with	FGFR1	gene
pazopanib	drug	interacts_with	FGFR1	gene
Nintedanib	drug	interacts_with	FGFR1	gene
sunitinib	drug	interacts_with	FGFR1	gene
sorafenib	drug	interacts_with	FGFR1	gene
pazopanib	drug	interacts_with	FGFR1	gene
Nintedanib	drug	interacts_with	FGFR1	gene
sunitinib	drug	interacts_with	FGFR1	gene
sorafenib	drug	interacts_with	FGFR1	gene
pazopanib	drug	interacts_with	FGFR1	gene
Nintedanib	drug	interacts_with	FGFR1	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
Nintedanib	drug	interacts_with	FGFR3	gene
abarelix	drug	interacts_with	GNRHR	gene
buserelin	drug	interacts_with	GNRHR	gene
leuprolide	drug	interacts_with	GNRHR	gene
triptorelin	drug	interacts_with	GNRHR	gene
goserelin	drug	interacts_with	GNRHR	gene
cetrorelix	drug	interacts_with	GNRHR	gene
histrelin	drug	interacts_with	GNRHR	gene
elagolix	drug	interacts_with	GNRHR	gene
relugolix	drug	interacts_with	GNRHR	gene
sufugolix	drug	interacts_with	GNRHR	gene
flunitrazepam	drug	interacts_with	GABRA1	gene
diazepam	drug	interacts_with	GABRA1	gene
zolpidem	drug	interacts_with	GABRA1	gene
alprazolam	drug	interacts_with	GABRA1	gene
clonazepam	drug	interacts_with	GABRA1	gene
triazolam	drug	interacts_with	GABRA1	gene
muscimol	drug	interacts_with	GABRA1	gene
picrotoxin	drug	interacts_with	GABRA1	gene
flumazenil	drug	interacts_with	GABRA1	gene
ocinaplon	drug	interacts_with	GABRA1	gene
bicuculline	drug	interacts_with	GABRA1	gene
gaboxadol	drug	interacts_with	GABRA1	gene
bretazenil	drug	interacts_with	GABRA1	gene
methyl 6,7-dimethoxy-4-ethyl-β-carboline-3-carboxylate	drug	interacts_with	GABRA1	gene
indiplon	drug	interacts_with	GABRA1	gene
isoguvacine	drug	interacts_with	GABRA1	gene
L-838417	drug	interacts_with	GABRA1	gene
Ro-15-4513	drug	interacts_with	GABRA1	gene
ZK93423	drug	interacts_with	GABRA1	gene
L-822179	drug	interacts_with	GABRA1	gene
ZK93426	drug	interacts_with	GABRA1	gene
isonipecotic acid	drug	interacts_with	GABRA1	gene
RO4938581	drug	interacts_with	GABRA1	gene
terfenadine	drug	interacts_with	KCNH2	gene
astemizole	drug	interacts_with	KCNH2	gene
disopyramide	drug	interacts_with	KCNH2	gene
dofetilide	drug	interacts_with	KCNH2	gene
ibutilide	drug	interacts_with	KCNH2	gene
E4031	drug	interacts_with	KCNH2	gene
rottlerin	drug	interacts_with	KCNH2	gene
terfenadine	drug	interacts_with	KCNH2	gene
astemizole	drug	interacts_with	KCNH2	gene
disopyramide	drug	interacts_with	KCNH2	gene
dofetilide	drug	interacts_with	KCNH2	gene
ibutilide	drug	interacts_with	KCNH2	gene
E4031	drug	interacts_with	KCNH2	gene
rottlerin	drug	interacts_with	KCNH2	gene
miglitol	drug	interacts_with	GAA	gene
duvoglustat	drug	interacts_with	GAA	gene
mitotane	drug	interacts_with	CYP11B1	gene
metyrapone	drug	interacts_with	CYP11B1	gene
fadrozole	drug	interacts_with	CYP11B1	gene
piracetam	drug	interacts_with	GRIA3	gene
allopurinol	drug	interacts_with	XDH	gene
sunitinib	drug	interacts_with	KIT	gene
sorafenib	drug	interacts_with	KIT	gene
masitinib	drug	interacts_with	KIT	gene
cediranib	drug	interacts_with	KIT	gene
crenolanib	drug	interacts_with	KIT	gene
linifanib	drug	interacts_with	KIT	gene
pazopanib	drug	interacts_with	KIT	gene
semaxanib	drug	interacts_with	KIT	gene
sunitinib	drug	interacts_with	KIT	gene
sorafenib	drug	interacts_with	KIT	gene
masitinib	drug	interacts_with	KIT	gene
cediranib	drug	interacts_with	KIT	gene
crenolanib	drug	interacts_with	KIT	gene
linifanib	drug	interacts_with	KIT	gene
pazopanib	drug	interacts_with	KIT	gene
semaxanib	drug	interacts_with	KIT	gene
sunitinib	drug	interacts_with	KIT	gene
sorafenib	drug	interacts_with	KIT	gene
masitinib	drug	interacts_with	KIT	gene
cediranib	drug	interacts_with	KIT	gene
crenolanib	drug	interacts_with	KIT	gene
linifanib	drug	interacts_with	KIT	gene
pazopanib	drug	interacts_with	KIT	gene
semaxanib	drug	interacts_with	KIT	gene
diclofenac	drug	interacts_with	PPARG	gene
resveratrol	drug	interacts_with	PPARG	gene
linoleic acid	drug	interacts_with	PPARG	gene
indomethacin	drug	interacts_with	PPARG	gene
mesalazine	drug	interacts_with	PPARG	gene
pioglitazone	drug	interacts_with	PPARG	gene
bexarotene	drug	interacts_with	PPARG	gene
rosiglitazone	drug	interacts_with	PPARG	gene
bardoxolone methyl	drug	interacts_with	PPARG	gene
ciglitazone	drug	interacts_with	PPARG	gene
farglitazar	drug	interacts_with	PPARG	gene
netoglitazone	drug	interacts_with	PPARG	gene
Troglitazone	drug	interacts_with	PPARG	gene
diclofenac	drug	interacts_with	PPARG	gene
resveratrol	drug	interacts_with	PPARG	gene
linoleic acid	drug	interacts_with	PPARG	gene
indomethacin	drug	interacts_with	PPARG	gene
mesalazine	drug	interacts_with	PPARG	gene
pioglitazone	drug	interacts_with	PPARG	gene
bexarotene	drug	interacts_with	PPARG	gene
rosiglitazone	drug	interacts_with	PPARG	gene
bardoxolone methyl	drug	interacts_with	PPARG	gene
ciglitazone	drug	interacts_with	PPARG	gene
farglitazar	drug	interacts_with	PPARG	gene
netoglitazone	drug	interacts_with	PPARG	gene
Troglitazone	drug	interacts_with	PPARG	gene
hydrochlorothiazide	drug	interacts_with	SLC12A3	gene
metolazone	drug	interacts_with	SLC12A3	gene
chlorothiazide	drug	interacts_with	SLC12A3	gene
cyclothiazide	drug	interacts_with	SLC12A3	gene
arachidonic acid	drug	interacts_with	TRPC6	gene
hydron	drug	interacts_with	TRPC6	gene
2-aminoethoxydiphenylborate	drug	interacts_with	TRPC6	gene
20-HETE	drug	interacts_with	TRPC6	gene
tetraethylammonium	drug	interacts_with	KCNN3	gene
tubocurarine	drug	interacts_with	KCNN3	gene
dapagliflozin	drug	interacts_with	SLC5A2	gene
canagliflozin	drug	interacts_with	SLC5A2	gene
empagliflozin	drug	interacts_with	SLC5A2	gene
sergliflozin etabonate	drug	interacts_with	SLC5A2	gene
pregnenolone sulfate	drug	interacts_with	TRPM1	gene
2-aminoethoxydiphenylborate	drug	interacts_with	TRPC3	gene
2-aminoethoxydiphenylborate	drug	interacts_with	TRPC4	gene
adenosine triphosphate	drug	interacts_with	TRPM4	gene
adenosine diphosphate	drug	interacts_with	TRPM4	gene
adenosine	drug	interacts_with	TRPM4	gene
adenosine monophosphate	drug	interacts_with	TRPM4	gene
clotrimazole	drug	interacts_with	TRPM4	gene
spermine	drug	interacts_with	TRPM4	gene
AMP-PNP	drug	interacts_with	TRPM4	gene
tetrahydrocannabinol	drug	interacts_with	TRPM8	gene
L-menthol	drug	interacts_with	TRPM8	gene
linoleic acid	drug	interacts_with	TRPM8	gene
anandamide	drug	interacts_with	TRPM8	gene
clotrimazole	drug	interacts_with	TRPM8	gene
cannabidiol	drug	interacts_with	TRPM8	gene
NADA	drug	interacts_with	TRPM8	gene
5-benzyloxytryptamine	drug	interacts_with	TRPM8	gene
tetrahydrocannabinol	drug	interacts_with	TRPM8	gene
L-menthol	drug	interacts_with	TRPM8	gene
linoleic acid	drug	interacts_with	TRPM8	gene
anandamide	drug	interacts_with	TRPM8	gene
clotrimazole	drug	interacts_with	TRPM8	gene
cannabidiol	drug	interacts_with	TRPM8	gene
NADA	drug	interacts_with	TRPM8	gene
5-benzyloxytryptamine	drug	interacts_with	TRPM8	gene
tetrahydrocannabinol	drug	interacts_with	TRPM8	gene
L-menthol	drug	interacts_with	TRPM8	gene
linoleic acid	drug	interacts_with	TRPM8	gene
anandamide	drug	interacts_with	TRPM8	gene
clotrimazole	drug	interacts_with	TRPM8	gene
cannabidiol	drug	interacts_with	TRPM8	gene
NADA	drug	interacts_with	TRPM8	gene
5-benzyloxytryptamine	drug	interacts_with	TRPM8	gene
tetrahydrocannabinol	drug	interacts_with	TRPM8	gene
L-menthol	drug	interacts_with	TRPM8	gene
linoleic acid	drug	interacts_with	TRPM8	gene
anandamide	drug	interacts_with	TRPM8	gene
clotrimazole	drug	interacts_with	TRPM8	gene
cannabidiol	drug	interacts_with	TRPM8	gene
NADA	drug	interacts_with	TRPM8	gene
5-benzyloxytryptamine	drug	interacts_with	TRPM8	gene
cholesterol	drug	interacts_with	RORA	gene
cholesterol	drug	interacts_with	RORA	gene
cholesterol	drug	interacts_with	RORA	gene
adenosine triphosphate	drug	interacts_with	TRPM7	gene
adenosine cyclic phosphate	drug	interacts_with	TRPM7	gene
hydron	drug	interacts_with	TRPM7	gene
nafamostat	drug	interacts_with	TRPM7	gene
balanol	drug	interacts_with	GRK1	gene
liothyronine	drug	interacts_with	THRA	gene
DL-3,3',5'-triiodothyronine	drug	interacts_with	THRA	gene
tiratricol	drug	interacts_with	THRA	gene
mefenamic acid	drug	interacts_with	KCNQ1	gene
niflumic acid	drug	interacts_with	KCNQ1	gene
mefenamic acid	drug	interacts_with	KCNQ1	gene
niflumic acid	drug	interacts_with	KCNQ1	gene
mefenamic acid	drug	interacts_with	KCNQ1	gene
niflumic acid	drug	interacts_with	KCNQ1	gene
lonafarnib	drug	interacts_with	HRAS	gene
lonafarnib	drug	interacts_with	HRAS	gene
lonafarnib	drug	interacts_with	HRAS	gene
lonafarnib	drug	interacts_with	HRAS	gene
oxytocin	drug	interacts_with	OXTR	gene
arginine vasopressin	drug	interacts_with	OXTR	gene
vasotocin	drug	interacts_with	OXTR	gene
L-371,257	drug	interacts_with	OXTR	gene
nelivaptan	drug	interacts_with	OXTR	gene
relcovaptan	drug	interacts_with	OXTR	gene
tolbutamide	drug	interacts_with	KCNJ11	gene
glyburide	drug	interacts_with	KCNJ11	gene
minoxidil	drug	interacts_with	KCNJ11	gene
nicorandil	drug	interacts_with	KCNJ11	gene
tolbutamide	drug	interacts_with	KCNJ11	gene
glyburide	drug	interacts_with	KCNJ11	gene
minoxidil	drug	interacts_with	KCNJ11	gene
nicorandil	drug	interacts_with	KCNJ11	gene
tolbutamide	drug	interacts_with	KCNJ11	gene
glyburide	drug	interacts_with	KCNJ11	gene
minoxidil	drug	interacts_with	KCNJ11	gene
nicorandil	drug	interacts_with	KCNJ11	gene
tolbutamide	drug	interacts_with	KCNJ11	gene
glyburide	drug	interacts_with	KCNJ11	gene
minoxidil	drug	interacts_with	KCNJ11	gene
nicorandil	drug	interacts_with	KCNJ11	gene
tetraethylammonium	drug	interacts_with	KCNQ2	gene
flupirtine	drug	interacts_with	KCNQ2	gene
ezogabine	drug	interacts_with	KCNQ2	gene
linopirdine	drug	interacts_with	KCNQ2	gene
tetraethylammonium	drug	interacts_with	KCNQ3	gene
ezogabine	drug	interacts_with	KCNQ3	gene
6-methyl-2-(phenylethynyl)pyridine	drug	interacts_with	GRM5	gene
ADX-47273	drug	interacts_with	GRM5	gene
CDPPB	drug	interacts_with	GRM5	gene
CTEP	drug	interacts_with	GRM5	gene
fenobam	drug	interacts_with	GRM5	gene
MTEP	drug	interacts_with	GRM5	gene
CHPG	drug	interacts_with	GRM5	gene
dipraglurant	drug	interacts_with	GRM5	gene
6-methyl-2-(phenylethynyl)pyridine	drug	interacts_with	GRM5	gene
ADX-47273	drug	interacts_with	GRM5	gene
CDPPB	drug	interacts_with	GRM5	gene
CTEP	drug	interacts_with	GRM5	gene
fenobam	drug	interacts_with	GRM5	gene
MTEP	drug	interacts_with	GRM5	gene
CHPG	drug	interacts_with	GRM5	gene
dipraglurant	drug	interacts_with	GRM5	gene
DCPG	drug	interacts_with	GRM6	gene
eglumetad	drug	interacts_with	GRM6	gene
LY379268	drug	interacts_with	GRM6	gene
DCG-IV	drug	interacts_with	GRM7	gene
DCG-IV	drug	interacts_with	GRM7	gene
DCG-IV	drug	interacts_with	GRM7	gene
DCG-IV	drug	interacts_with	GRM7	gene
DCG-IV	drug	interacts_with	GRM8	gene
DCPG	drug	interacts_with	GRM8	gene
eglumetad	drug	interacts_with	GRM8	gene
L-AP4	drug	interacts_with	GRM8	gene
DCG-IV	drug	interacts_with	GRM8	gene
DCPG	drug	interacts_with	GRM8	gene
eglumetad	drug	interacts_with	GRM8	gene
